0,Temperature
1,17.5
2,18.1
3,19.1
4,21.9
5,25.4
6,28.5
7,29.5
1,16.1
2,17.8
3,21.1
4,23.8
5,26.6
6,28.6
7,29.6
1,16.1
2,17.8
3,21.1
4,23.8
5,26.6
6,28.6
7,29.6
1,15.4
2,17.8
3,17.6
4,21.9
5,25.8
6,27.2
7,29.7
1,15.5
2,16.2
3,17.3
4,23
5,26.2
6,28.2
7,29.8
1,17.7
2,17.8
3,18.7
4,23.1
5,25.5
6,28
7,30.3
1,17.3
2,18.7
3,19.7
4,21.2
5,26.4
6,28
7,30.4
1,16.5
2,14.1
3,19.3
4,22.5
5,24.9
6,27.5
7,29.6
1,15.7
2,20.2
3,18.6
4,21.3
5,25.3
6,28.2
7,30.1
1,16.9
2,17.6
3,20
4,20.7
5,25.5
6,26.2
7,30.3
1,13.7
2,16.9
3,16.2
4,21.7
5,24.8
6,29
7,29.7
1,15.9
2,16.4
3,18.8
4,23.1
5,25.9
6,27.8
7,30.6
1,16.7
2,18.8
3,19.9
4,21.1
5,26
6,29.2
7,29.5
1,16.8
2,16.5
3,18.9
4,22.5
5,25.2
6,28
7,30.5
1,16.7
2,17.3
3,18.9
4,22.7
5,26.1
6,30
7,30
1,16.2
2,15.5
3,17.5
4,24
5,27.1
6,29.4
7,30.3
1,18.3
2,17
3,18.2
4,22.5
5,25.6
6,28
7,30.3
1,16.9
2,15.6
3,20.6
4,23.5
5,28.2
6,28.5
7,30.3
1,18.5
2,18.8
3,19.8
4,24.2
5,25
6,28.5
7,30.3
1,17.9
2,18.7
3,20.8
4,20.9
5,26.9
6,30.5
7,30.9
